label,method,dock_prot,filtered,scaffold_only,rmsd_threshold,lddt_pli_threshold,n_total,n_with_predictions,mean_n_poses,n_rmsd_valid,n_success_valid,rmsd_valid_rate,success_valid_rate,rmsd_valid_pct,success_valid_pct,rmsd_only_pct,plot_group,plot_label,plot_order
af3 top1,af3,cofold,True,True,2.0,0.8,802,802,1.0,189,110,0.23566084788029926,0.1371571072319202,23.566084788029926,13.715710723192021,9.850374064837904,Cofolding,AlphaFold3,0
boltz-1 top1,boltz-1,cofold,True,True,2.0,0.8,802,796,0.9925187032418953,46,30,0.057356608478802994,0.03740648379052369,5.7356608478802995,3.7406483790523692,1.9950124688279303,Cofolding,Boltz-1,1
boltz-2 top1,boltz-2,cofold,True,True,2.0,0.8,802,796,0.9925187032418953,54,41,0.06733167082294264,0.05112219451371571,6.733167082294264,5.112219451371571,1.620947630922693,Cofolding,Boltz-2,2
of3p2 top1,of3p2,cofold,True,True,2.0,0.8,802,802,1.0,65,42,0.08104738154613467,0.05236907730673317,8.104738154613466,5.236907730673317,2.8678304239401493,Cofolding,OpenFold3-p2,3
protenix top1,protenix,cofold,True,True,2.0,0.8,802,802,1.0,306,224,0.38154613466334164,0.2793017456359102,38.15461346633416,27.93017456359102,10.224438902743142,Cofolding,Protenix,4
rf3 top1,rf3,cofold,True,True,2.0,0.8,802,798,0.9950124688279302,31,3,0.03865336658354115,0.003740648379052369,3.865336658354115,0.3740648379052369,3.491271820448878,Cofolding,RosettaFold 3,5
"Best
Cofolding",cofold_best,cofold,True,True,2.0,0.8,802,802,5.980049875311721,437,316,0.5448877805486284,0.3940149625935162,54.48877805486284,39.40149625935162,15.087281795511224,Cofolding,"Best
cofolding",6
gnina redock top1,gnina,redock,True,True,2.0,0.8,802,802,1.0,557,534,0.6945137157107232,0.6658354114713217,69.45137157107231,66.58354114713218,2.867830423940134,GNINA,Redocking,7
gnina fragment_crossdock top1,gnina,fragment_crossdock,True,True,2.0,0.8,802,802,1.0,113,54,0.14089775561097256,0.06733167082294264,14.089775561097257,6.733167082294264,7.356608478802993,GNINA,"Cross-docking
Fragment screen",8
