label,method,dock_prot,filtered,scaffold_only,n_total,n_with_predictions,mean_n_poses,n_rmsd_valid,n_success_valid,rmsd_valid_rate,success_valid_rate,rmsd_valid_pct,success_valid_pct,rmsd_only_pct
af3 top25,af3,cofold,False,False,925,925,25.0,378,221,0.40864864864864864,0.23891891891891892,40.86486486486486,23.89189189189189,16.972972972972972
boltz-1 top25,boltz-1,cofold,False,False,925,916,24.756756756756758,128,69,0.13837837837837838,0.0745945945945946,13.837837837837839,7.45945945945946,6.378378378378379
boltz-2 top25,boltz-2,cofold,False,False,925,919,24.83783783783784,100,79,0.10810810810810811,0.08540540540540541,10.81081081081081,8.54054054054054,2.27027027027027
of3p2 top25,of3p2,cofold,False,False,925,925,25.0,430,293,0.4648648648648649,0.31675675675675674,46.48648648648649,31.675675675675674,14.810810810810818
protenix top25,protenix,cofold,False,False,925,925,25.0,574,454,0.6205405405405405,0.4908108108108108,62.054054054054056,49.08108108108108,12.972972972972975
rf3 top25,rf3,cofold,False,False,925,921,24.89189189189189,155,30,0.16756756756756758,0.032432432432432434,16.756756756756758,3.2432432432432434,13.513513513513514
