label,method,dock_prot,filtered,scaffold_only,n_total,n_with_predictions,mean_n_poses,n_rmsd_valid,n_success_valid,rmsd_valid_rate,success_valid_rate,rmsd_valid_pct,success_valid_pct,rmsd_only_pct,plot_group,plot_label,plot_order
af3 top25,af3,cofold,True,True,802,802,25.0,358,207,0.4463840399002494,0.2581047381546135,44.63840399002494,25.81047381546135,18.82793017456359,Co-folding,AlphaFold3,0
boltz-1 top25,boltz-1,cofold,True,True,802,796,24.81296758104738,114,60,0.14214463840399003,0.07481296758104738,14.214463840399002,7.4812967581047385,6.733167082294264,Co-folding,Boltz-1,1
boltz-2 top25,boltz-2,cofold,True,True,802,796,24.81296758104738,81,64,0.10099750623441396,0.0798004987531172,10.099750623441397,7.98004987531172,2.1197007481296763,Co-folding,Boltz-2,2
of3p2 top25,of3p2,cofold,True,True,802,802,25.0,410,285,0.5112219451371571,0.3553615960099751,51.12219451371571,35.53615960099751,15.586034912718205,Co-folding,OpenFold3-p2,3
protenix top25,protenix,cofold,True,True,802,802,25.0,548,437,0.683291770573566,0.5448877805486284,68.3291770573566,54.48877805486284,13.840399002493761,Co-folding,Protenix,4
rf3 top25,rf3,cofold,True,True,802,798,24.875311720698253,143,27,0.17830423940149626,0.03366583541147132,17.830423940149625,3.366583541147132,14.463840399002493,Co-folding,RosettaFold 3,5
"Best
co-folding",cofold_best,cofold,True,True,802,802,149.50124688279303,687,579,0.8566084788029925,0.7219451371571073,85.66084788029926,72.19451371571073,13.466334164588531,Co-folding,"Best
co-folding",6
gnina_multi redock top25,gnina_multi,redock,True,True,802,802,25.0,739,684,0.9214463840399002,0.8528678304239401,92.14463840399002,85.286783042394,6.857855361596009,GNINA,Redocking,7
gnina_multi fragment_crossdock top25,gnina_multi,fragment_crossdock,True,True,802,802,25.0,303,109,0.3778054862842893,0.13591022443890274,37.78054862842893,13.591022443890274,24.189526184538657,GNINA,"Cross-docking
Fragment screen",8
